Model,J@20,Log-RMSE,AUPRC,WAPE,Rank-Correlation,Centrality-Delta,Training Time (s)
Primary (Dynamic + GRU + 4 Sectors),0.02609086819613135,4.046654224395752,0.6480392118578227,1.000008463859558,0.33664069134588454,0.004561216730203785,517.62
Ablation A (No GRU),0.06312790523316839,1097460.875,0.5440489211415656,698.3206176757812,0.07176648149759746,0.0054470794908449485,491.59
Ablation B (Static Attention),0.05458089668615984,4.031527042388916,0.6565469374819196,1.0000015497207642,0.3651793345578344,0.0045539127061358636,529.19
Ablation C (Homogeneous Graph),0.05263157894736842,4.269290924072266,0.5208637032508938,1.00003182888031,-0.11585521870534986,0.004818908776444551,586.49
